american_football.football_coach	"American football head coach"
music.performance_venue	"Concert Performance Venue"
music.producer	"Record Producer"
music.record_label	"Record label"
music.recording	"Musical Recording"
music.recording_cluster	"Recording Cluster"
music.recording_contribution	"Musical Contribution"
music.release	"Musical Release"
music.release_component	"Musical Release Component"
music.release_track	"Release track"
music.single	"Canonical Version"
music.songwriter	"Songwriter"
music.soundtrack	"Soundtrack"
music.special_music_video_performance_type	"Special music video performance type"
music.synthesizer	"Synthesizer"
music.tour_manager	"Tour Manager"
music.track_contribution	"Recording contribution"
music.voice	"Musical voice"
nytimes.topic	"Topic"
olympics.demonstration_event_athlete_relationship	"Demonstration event/athlete relationship"
olympics.olympic_athlete	"Olympic athlete"
olympics.olympic_athlete_affiliation	"Olympic athlete affiliation"
olympics.olympic_bidding_city	"Olympic bidding city"
olympics.olympic_city_bid	"Olympic city bid"
olympics.olympic_demonstration_competition	"Olympic demonstration competition"
olympics.olympic_demonstration_medal_honor	"Olympic athlete/demonstration competition relationship"
olympics.olympic_event	"Olympic event"
olympics.olympic_event_competition	"Olympic event competition"
olympics.olympic_games	"Olympic games"
olympics.olympic_host_city	"Olympic host city"
olympics.olympic_mascot	"Olympic mascot"
olympics.olympic_medal	"Olympic medal"
olympics.olympic_medal_demonstration	"Olympic medal (demonstration)"
olympics.olympic_medal_honor	"Olympic athlete/competition relationship"
olympics.olympic_participating_country	"Olympic participating country"
olympics.olympic_sport	"Olympic discipline"
olympics.olympic_torch_relay	"Olympic Torch Relay"
olympics.olympic_torch_relay_location	"Olympic torch relay location"
olympics.olympic_torchbearer	"Olympic Torchbearer"
olympics.olympic_venue	"Olympic venue"
opera.librettist	"Librettist"
opera.libretto	"Opera Libretto"
opera.opera	"Opera"
opera.opera_character	"Opera Character"
opera.opera_character_voice	"Opera character voice"
opera.opera_company	"Opera Company"
opera.opera_designer	"Opera Designer"
opera.opera_designer_gig	"Opera Designer Gig"
opera.opera_designer_role	"Opera Designer Role"
opera.opera_director	"Opera Director"
opera.opera_genre	"Opera Genre"
opera.opera_house	"Opera House"
opera.opera_producer	"Opera Producer"
opera.opera_production	"Opera Production"
opera.opera_production_staff	"Opera Production Staffmember"
opera.opera_production_staff_gig	"Opera Production Staff Gig"
opera.opera_production_staff_role	"Opera Production Staff Role"
opera.opera_production_venue_relationship	"Opera production venue relationship"
opera.opera_recording	"Opera Recording"
opera.opera_role	"Opera Role"
organization.australian_organization	"Australian organization"
organization.club	"Club"
organization.club_interest	"Club interest"
organization.contact_category	"Contact category"
organization.email_contact	"Email contact"
organization.endowed_organization	"Endowed Organization"
organization.leadership	"Organization leadership"
organization.membership_organization	"Membership organization"
organization.non_profit_designation	"Non-profit designation"
organization.non_profit_organization	"Nonprofit organization"
organization.non_profit_registration	"Non-profit registration"
organization.organization	"Organization"
organization.organization_board_membership	"Organization governorship"
organization.organization_committee	"Organization committee"
organization.organization_committee_membership	"Organization committee membership"
organization.organization_committee_title	"Organization committee title"
organization.organization_founder	"Organization founder"
organization.organization_member	"Organization member"
organization.organization_membership	"Organization membership"
organization.organization_merger	"Organization merger"
organization.organization_partnership	"Organization partnership"
organization.organization_relationship	"Organization Relationship"
organization.organization_scope	"Organization scope"
organization.organization_sector	"Organization sector"
organization.organization_spin_off	"Organization spin-off"
organization.organization_type	"Organization type"
organization.role	"Leadership Role"
people.american_indian_group	"American Indian group"
people.appointed_role	"Appointed Role"
people.appointee	"Appointee"
people.appointer	"Appointer"
people.appointment	"Appointment"
people.appointment_nomination	"Appointment Nomination"
people.appointment_nominee	"Appointment Nominee"
people.canadian_aboriginal_group	"Canadian aboriginal group"
people.cause_of_death	"Cause Of Death"
people.chinese_ethnic_group	"Chinese ethnic group"
people.deceased_person	"Deceased Person"
people.ethnicity	"Ethnicity"
people.family	"Family"
people.family_member	"Family member"
people.family_name	"Family name"
people.gender	"Gender"
people.group	"Group"
people.group_membership	"Group membership"
people.human_measurement	"Human measurement"
people.marriage	"Marriage"
people.marriage_union_type	"Marriage/union type"
people.measured_body_part	"Measured body part"
people.measured_person	"Measured person"
people.person	"Person"
people.place_lived	"Place lived"
people.place_of_interment	"Place of interment"
people.profession	"Profession"
people.professional_field	"Professional field"
people.sibling_relationship	"Sibling Relationship"
people.wedding_venue	"Wedding venue"
periodicals.newspaper_circulation_area	"Newspaper circulation area"
physics.fundamental_interaction	"Fundamental interaction"
physics.hadron	"Hadron"
physics.magnetic_moment	"Magnetic moment"
physics.particle	"Subatomic particle"
physics.particle_antiparticle	"Particle-Antiparticle"
physics.particle_family	"Subatomic particle family"
physics.quark	"Quark"
physics.subatomic_mass	"Subatomic mass"
physics.subatomic_particle_composition	"Subatomic particle composition"
physics.subatomic_particle_generation	"Subatomic particle generation"
pipeline.delete_task	"Delete Task"
pipeline.merge_task	"Merge Task"
pipeline.pipeline	"Pipeline"
pipeline.review_flag	"Review Flag"
pipeline.simple_merge_task	"Simple Merge Task"
pipeline.task	"Task"
pipeline.task_profile	"Task Profile"
pipeline.task_status	"Task Status"
pipeline.vote	"Vote"
pipeline.vote_value	"Vote Value"
projects.project	"Project"
projects.project_focus	"Project focus"
projects.project_participant	"Project participant"
projects.project_participation	"Project participation"
projects.project_role	"Project role"
protected_sites.governing_body_of_protected_sites	"Governing Body of Protected Sites"
protected_sites.iucn_category	"IUCN Category"
protected_sites.listed_site	"Listed Site"
protected_sites.natural_or_cultural_preservation_agency	"Natural or Cultural Preservation Agency"
protected_sites.natural_or_cultural_site_designation	"Natural or Cultural Site Designation"
protected_sites.natural_or_cultural_site_listing	"Natural or Cultural Site Listing"
protected_sites.park_system	"Park System"
protected_sites.protected_site	"Protected Site"
protected_sites.site_listing_category	"Site Listing Category"
radio.radio_episode_segment	"Radio episode segment"
radio.radio_program	"Radio program"
radio.radio_program_episode	"Radio program episode"
radio.radio_subject	"Radio subject"
rail.diesel_locomotive_class	"Diesel locomotive class"
rail.electric_locomotive_class	"Electric locomotive class"
rail.electric_system	"Electric system"
rail.locomotive	"Locomotive"
rail.locomotive_builder	"Locomotive builder"
rail.locomotive_class	"Locomotive class"
rail.locomotive_class_operator_relationship	"Locomotive class/operator relationship"
rail.locomotive_owner	"Locomotive owner"
rail.locomotive_ownership	"Locomotive ownership"
rail.rail_gauge	"Rail gauge"
rail.rail_network	"Rail network"
rail.railway	"Railway"
rail.railway_gauge_relationship	"Railway-gauge relationship"
rail.railway_operator	"Railway operator"
rail.railway_operator_relationship	"Railway-operator relationship"
rail.railway_terminus	"Railway terminus"
rail.railway_type	"Railway type"
rail.railway_type_relationship	"Railway-type relationship"
rail.rolling_stock_tenure	"Rolling stock tenure"
rail.steam_locomotive_class	"Steam locomotive class"
rail.steam_locomotive_fuel_type	"Steam locomotive fuel type"
rail.steam_locomotive_wheel_configuration	"Steam locomotive wheel configuration"
religion.adherents	"Adherents"
religion.belief	"Belief"
religion.congregation	"Congregation"
religion.deity	"Deity"
religion.founding_figure	"Founding Figure"
religion.monastery	"Monastery"
religion.place_of_worship	"Place of worship"
religion.place_of_worship_historical_use	"Place of worship historical use"
religion.prayer	"Prayer"
religion.religion	"Religion"
religion.religious_jurisdiction_class	"Religious Jurisdiction Category"
religion.religious_leader	"Religious Leader"
religion.religious_leadership_jurisdiction	"Religious Jurisdiction"
religion.religious_leadership_jurisdiction_appointment	"Religious Title Jurisdiction"
religion.religious_leadership_role	"Religious Leadership Role"
religion.religious_leadership_title	"Religious Leadership Title"
religion.religious_order	"Religious order"
religion.religious_organization	"Religious Organization"
religion.religious_organization_leadership	"Religious Organization Leadership"
religion.religious_practice	"Religious Practice"
religion.religious_text	"Religious Text"
religion.type_of_place_of_worship	"Type of place of worship"
royalty.chivalric_office	"Chivalric Office"
royalty.chivalric_order_founder	"Chivalric Order Founder"
royalty.chivalric_order_member	"Chivalric Order Member"
royalty.chivalric_order_membership	"Chivalric Order Membership"
royalty.chivalric_order_officer	"Chivalric Order Officer"
royalty.chivalric_order_position_tenure	"Chivalric Order Officer Tenure"
royalty.chivalric_order_relationship	"Chivalric Order Relationship"
royalty.chivalric_rank	"Chivalric Rank"
royalty.chivalric_rank_gender_equivalence	"Chivalric Rank Gender Equivalence"
royalty.chivalric_rank_precedence	"Chivalric Rank Precedence"
royalty.chivalric_title	"Chivalric Title"
royalty.chivalric_title_gender_equivalency	"Chivalric Title Gender Equivalence"
royalty.coronation	"Coronation"
royalty.kingdom	"Kingdom"
royalty.monarch	"Monarch"
royalty.noble_person	"Noble person"
royalty.noble_rank	"Noble rank"
royalty.noble_rank_gender_equivalence	"Noble rank gender equivalence"
royalty.noble_title	"Noble title"
royalty.noble_title_gender_equivalency	"Noble title gender equivalency"
royalty.noble_title_tenure	"Noble title tenure"
royalty.order_of_chivalry	"Order of Chivalry"
royalty.order_of_chivalry_category	"Order of Chivalry Category"
royalty.precedence	"Precedence"
royalty.royal_line	"Royal line"
royalty.system_of_nobility	"System of nobility"
royalty.system_order_relationship	"System-Order relationship"
royalty.system_rank_relationship	"System-Rank relationship"
royalty.system_title_relationship	"System-Title relationship"
skiing.lift_tenure	"Lift tenure"
skiing.lift_type	"Lift type"
skiing.run_rating	"Run rating"
skiing.run_rating_symbol	"Run rating symbol"
skiing.ski_area	"Ski Area"
skiing.ski_area_owner	"Ski Area Owner"
skiing.ski_area_ownership	"Ski Area Ownership"
skiing.ski_lift	"Ski Lift"
skiing.ski_lift_manufacturer	"Ski Lift Manufacturer"
skiing.ski_lodge	"Ski Lodge"
skiing.ski_run	"Ski Run"
skiing.yearly_snowfall	"Yearly Snowfall"
soccer.fifa	"Football Organization"
soccer.football_award	"Football Competition"
soccer.football_disciplinary_action	"Football Disciplinary Action"
soccer.football_disciplinary_punishment	"Football Disciplinary Punishment"
soccer.football_goal	"Football Goal"
soccer.football_league	"Football League"
soccer.football_league_participation	"Football League Participation"
soccer.football_league_season	"Football League Season"
soccer.football_league_system	"Football League System"
soccer.football_match	"Football Match"
soccer.football_pitch	"Football Pitch"
soccer.football_player	"Football player"
soccer.football_player_loan	"Football Player Loan"
soccer.football_player_match_participation	"Football Player Match Participation"
soccer.football_player_stats	"Football player stats"
soccer.football_player_substitution	"Football Player Substitution"
soccer.football_player_transfer	"Football Player Transfer"
soccer.football_position	"Football Position"
soccer.football_referee	"Football Referee"
soccer.football_team	"Football team"
soccer.football_team_management_tenure	"Football Team Management Tenure"
soccer.football_team_manager	"Football team manager"
soccer.football_team_manager_match_participation	"Football Team Manager Match Participation"
soccer.football_world_cup	"Football world cup"
spaceflight.astronaut	"Astronaut"
spaceflight.bipropellant_rocket_engine	"Bipropellant rocket engine"
spaceflight.launch_payload	"Launch Payload"
spaceflight.mission_destination	"Mission destination"
spaceflight.rocket	"Rocket"
spaceflight.rocket_engine	"Rocket engine"
spaceflight.rocket_engine_cycle	"Rocket engine cycle"
spaceflight.rocket_engine_designer	"Rocket engine designer"
spaceflight.rocket_engine_fuel	"Rocket engine fuel"
spaceflight.rocket_engine_manufacturer	"Rocket engine manufacturer"
spaceflight.rocket_engine_oxidizer	"Rocket engine oxidizer"
spaceflight.rocket_engine_status	"Rocket engine development status"
spaceflight.rocket_fuel	"Rocket Fuel"
spaceflight.rocket_function	"Rocket Function"
spaceflight.rocket_launch_site	"Spaceport"
spaceflight.rocket_manufacturer	"Rocket Manufacturer"
spaceflight.rocket_stage	"Rocket Stage"
spaceflight.rocket_status	"Rocket Status"
spaceflight.satellite	"Satellite"
spaceflight.satellite_manufacturer	"Spacecraft Manufacturer"
spaceflight.satellite_orbit_asynchronous	"Satellite Orbit, Asynchronous"
spaceflight.satellite_orbit_synchronous	"Satellite Orbit, Synchronous"
spaceflight.satellite_orbit_type	"Satellite Orbit Type"
spaceflight.satellite_type	"Satellite Type"
spaceflight.space_agency	"Space Agency"
spaceflight.space_mission	"Space Mission"
spaceflight.space_program	"Space program"
spaceflight.space_program_sponsor	"Space program sponsor"
spaceflight.spacecraft	"Spacecraft"
sports.australian_rules_footballer	"Australian Rules Footballer"
sports.boxer	"Boxer"
sports.boxing_stance	"Boxing Stance"
sports.boxing_weight_division	"Boxing Weight Division"
sports.coaching_position	"Coaching position"
sports.competitor_competition_relationship	"Competitor/competition relationship"
sports.competitor_country_relationship	"Competitor/country relationship"
sports.cyclist	"Cyclist"
sports.defunct_sports_team	"Defunct Sports Team"
sports.drafted_athlete	"Drafted athlete"
sports.fight_song	"Fight song"
sports.golf_club_access	"Golf Facility Access"
sports.golf_course	"Golf Course"
sports.golf_course_designer	"Golf Course Architect"
sports.golf_facility	"Golf Facility"
sports.golfer	"Golfer"
sports.handedness	"Handedness"
sports.mascot	"Mascot"
sports.multi_event_tournament	"Multi-event tournament"
sports.pro_athlete	"Athlete"
sports.pro_sports_played	"Sports played"
sports.professional_sports_team	"Professional Sports Team"
sports.school_sports_team	"School sports team"
sports.sport	"Sport"
sports.sport_country	"Sport Country"
sports.sport_medal	"Sport Medal"
sports.sports_award	"Sports League Award"
sports.sports_award_type	"Sports League Award Type"
sports.sports_award_winner	"Sports League Award Winner"
sports.sports_championship	"Sports League Championship"
sports.sports_championship_event	"Sports League Championship Event"
sports.sports_equipment	"Sports Equipment"
sports.sports_facility	"Sports Facility"
sports.sports_gender	"Sports gender"
sports.sports_league	"Sports Association"
sports.sports_league_draft	"Sports League Draft"
sports.sports_league_draft_pick	"Sports League Draft Pick"
sports.sports_league_participation	"Sports league participation"
sports.sports_league_season	"Sports League Season"
sports.sports_official	"Sports official"
sports.sports_official_tenure	"Sports official tenure"
sports.sports_position	"Sports position"
sports.sports_team	"Sports Team"
sports.sports_team_captain	"Sports team captain"
sports.sports_team_captain_tenure	"Sports team captain tenure"
sports.sports_team_coach	"Sports team coach"
sports.sports_team_coach_tenure	"Sports team coach tenure"
sports.sports_team_location	"Sports Team Location"
sports.sports_team_owner	"Sports Team Owner"
sports.sports_team_roster	"Sports team roster"
sports.sports_team_season_record	"Sports Team Season Record"
sports.team_venue_relationship	"Team/venue relationship"
sports.tournament_event	"Tournament event"
sports.tournament_event_competition	"Tournament event competition"
sports.tournament_event_competitor	"Tournament event competitor"
sports.tournament_team	"Tournament Team"
symbols.armorial_grant	"Armorial Grant"
symbols.coat_of_arms	"Coat of Arms"
symbols.coat_of_arms_bearer	"Coat of Arms Bearer"
symbols.flag	"Flag"
symbols.flag_referent	"Flag referent"
symbols.flag_use	"Flag use"
symbols.heraldic_brisure	"Heraldic Brisure"
symbols.heraldic_charge	"Heraldic Charge"
symbols.heraldic_charge_color	"Heraldic Charge Tincture"
symbols.heraldic_compartment	"Heraldic Compartment"
symbols.heraldic_coronet	"Heraldic Coronet"
symbols.heraldic_crest	"Heraldic crest"
symbols.heraldic_helm	"Heraldic helm"
symbols.heraldic_mantling	"Heraldic Mantling"
symbols.heraldic_ordinaire	"Heraldic Ordinary"
symbols.heraldic_ordinaire_color	"Heraldic Ordinaire Tincture"
symbols.heraldic_supporter	"Heraldic Supporter"
symbols.heraldic_tincture	"Heraldic Tincture"
symbols.heraldic_torse	"Heraldic Torse"
symbols.heraldic_variation_of_the_field	"Heraldic Variation of the Field"
symbols.heraldic_variation_of_the_field_color	"Heraldic Variation of the Field Tincture"
symbols.heraldry_granting_body	"Heraldry Granting Body"
symbols.name_source	"Name source"
symbols.namesake	"Namesake"
tennis.tennis_grip_style	"Tennis Grip Style"
tennis.tennis_match	"Tennis Match"
tennis.tennis_match_type	"Tennis Match Type"
tennis.tennis_player	"Tennis Player"
tennis.tennis_tournament	"Tennis Tournament"
tennis.tennis_tournament_champion	"Tennis Tournament Champion"
tennis.tennis_tournament_championship	"Tennis Tournament Championship"
theater.musical_director	"Musical Director"
theater.musical_soundtrack	"Musical Soundtrack"
theater.play	"Play"
theater.theater	"Theater"
theater.theater_actor	"Theater Actor"
theater.theater_character	"Theater Character"
theater.theater_choreographer	"Theater Choreographer"
theater.theater_company	"Theater Company"
theater.theater_designer	"Theater Designer"
theater.theater_designer_gig	"Theater Designer Gig"
theater.theater_designer_role	"Theater Designer Role"
theater.theater_director	"Theater Director"
theater.theater_genre	"Theater Genre"
theater.theater_producer	"Theater Producer"
theater.theater_production	"Theater Production"
theater.theater_production_staff	"Theater Production Staffmember"
theater.theater_production_staff_gig	"Theater Production Staff Gig"
theater.theater_production_staff_role	"Theater Production Staff Role"
theater.theater_production_venue_relationship	"Theater production venue relationship"
theater.theater_role	"Theater Role"
theater.theatrical_composer	"Theatrical Composer"
theater.theatrical_lyricist	"Theatrical Lyricist"
theater.theatrical_orchestrator	"Theatrical Orchestrator"
time.calendar	"Calendar System"
time.commemorative_event	"Commemorative event"
time.day_of_week	"Day Of Week"
time.day_of_year	"Day Of Year"
time.defunct_time_zone	"Defunct time zone"
time.event	"Event"
time.geologic_time_period	"Geologic time period"
time.geologic_time_period_uncertainty	"Geologic time period uncertainty"
time.holiday	"Holiday"
time.holiday_category	"Holiday Category"
time.holiday_period	"Holiday Period"
time.month	"Month"
time.recurring_event	"Recurring event"
time.time_zone	"Time Zone"
time.tzdata_time_zone	"Tzdata time zone"
transportation.bridge	"Bridge"
transportation.bridge_type	"Bridge Type"
transportation.highway_system	"Highway system"
transportation.road	"Road"
transportation.road_junction	"Road junction"
transportation.road_orientation	"Road orientation"
transportation.road_starting_point	"Road End"
transportation.transit_system_length	"Transit System Length"
travel.accommodation	"Accommodation"
travel.accommodation_feature	"Accommodation feature"
travel.accommodation_price_range	"Accommodation price range"
travel.accommodation_type	"Accommodation type"
travel.guidebook	"Guidebook"
travel.guidebook_series	"Guidebook series"
travel.hotel	"Hotel"
travel.hotel_brand	"Hotel Brand"
travel.hotel_brand_owner	"Hotel Brand Owner"
travel.hotel_grade	"Hotel Grade"
travel.hotel_grading_authority	"Hotel Grading Authority"
travel.hotel_guest_visit	"Hotel Guest Visit"
travel.hotel_operator	"Hotel Operator"
travel.tour_operator	"Tour operator"
travel.tourist_attraction	"Tourist attraction"
travel.transport_operator	"Transport operator"
travel.transport_terminus	"Transport terminus"
travel.transportation	"Transportation"
travel.transportation_mode	"Transportation mode"
travel.travel_destination	"Travel destination"
travel.travel_destination_monthly_climate	"Travel destination monthly climate"
tv.multipart_tv_episode	"Multipart TV episode"
tv.non_character_role	"Personal appearance role"
tv.regular_tv_appearance	"TV Regular Performance"
tv.sequence_of_tv_episode_segments	"Sequence of tv episode segments"
tv.special_tv_performance_type	"Special TV performance type"
tv.the_colbert_report_episode	"The Colbert Report episode"
tv.tv_actor	"TV Actor"
tv.tv_character	"TV Character"
tv.tv_crew_gig	"TV crew gig"
tv.tv_crew_role	"TV crew role"
tv.tv_crewmember	"TV crewmember"
tv.tv_director	"TV Director"
tv.tv_episode_segment	"TV episode segment"
tv.tv_episode_song_relationship	"TV episode song relationship"
tv.tv_genre	"TV Genre"
tv.tv_guest_personal_appearance	"TV episode personal appearance"
tv.tv_guest_role	"TV episode performance"
tv.tv_location	"TV Location"
tv.tv_network	"TV Network"
tv.tv_network_duration	"TV Program Duration At Network"
tv.tv_personality	"TV Personality"
tv.tv_producer	"TV Producer"
tv.tv_producer_episode_credit	"TV producer episode credit"
tv.tv_producer_term	"TV Producer term"
tv.tv_producer_type	"TV Producer type"
tv.tv_program	"TV Program"
tv.tv_program_creator	"TV Program Creator"
tv.tv_program_guest	"TV program guest"
tv.tv_program_writer_relationship	"TV program-writer relationship"
tv.tv_rating	"TV Rating"
tv.tv_rating_system	"TV Rating System"
tv.tv_regular_personal_appearance	"TV regular personal appearance"
tv.tv_segment_guest_appearance	"TV segment guest appearance"
tv.tv_segment_performance	"TV segment performance"
tv.tv_segment_personal_appearance	"TV segment personal appearance"
tv.tv_segment_song_relationship	"TV segment song relationship"
tv.tv_series_episode	"TV Episode"
tv.tv_series_season	"TV Season"
tv.tv_song	"TV song"
tv.tv_song_performer	"TV song performer"
tv.tv_soundtrack	"TV soundtrack"
tv.tv_subject	"TV subject"
tv.tv_theme_song	"TV theme song"
tv.tv_writer	"TV Writer"
tv.video	"Video"
tv.video_host	"Video host"
tv.video_type	"Video Type"
venture_capital.investment_round	"Investment Round"
venture_capital.venture_funded_company	"Venture Funded Company"
venture_capital.venture_investment	"Venture Investment"
venture_capital.venture_investor	"Venture Investor"
visual_art.art_acquisition_method	"Art acquisition method"
visual_art.art_owner	"Art owner"
visual_art.art_period_movement	"Art Period/Movement"
visual_art.art_series	"Art Series"
visual_art.art_subject	"Art Subject"
visual_art.artwork	"Artwork"
visual_art.artwork_location_relationship	"Artwork/location relationship"
visual_art.artwork_owner_relationship	"Artwork/owner relationship"
visual_art.color	"Color"
visual_art.visual_art_form	"Visual Art Form"
visual_art.visual_art_genre	"Visual Art Genre"
visual_art.visual_art_medium	"Visual Art Medium"
visual_art.visual_art_support	"Visual art support"
visual_art.visual_artist	"Visual Artist"
wikipedia.topic	"Topic"
wine.appellation	"Appellation"
wine.fruit_source	"Fruit Source"
wine.grape_variety	"Grape Variety"
wine.grape_variety_composition	"Grape Variety Composition"
wine.vineyard	"Vineyard"
wine.wine	"Wine"
wine.wine_color	"Wine color"
wine.wine_producer	"Wine Producer"
wine.wine_region	"Wine Region"
wine.wine_sub_region	"Wine Sub-region"
wine.wine_type	"Wine Type"
zoos.animal_captivity	"Animal Captivity"
zoos.zoo	"Zoo"
zoos.zoo_animal	"Zoo Animal"
zoos.zoo_category	"Zoo category"
zoos.zoo_exhibit	"Zoo Exhibit"
